,0
CRP InclExtrapol,0.0020522064005490392
Monozytenabsolut,0.04379268269985914
Nitrotyrosin,0.05449278745800257
IL8 pgml nan,0.05926732439547778
IL6,0.07134754276194144
OxLDL,0.0808137096464634
Leptin SLR Ratio,0.0822365004569292
MCH,0.09203242138028145
Glucose mmolL,0.11088301427662373
Potassium mmolL,0.11998835019767286
IL2 pgml,0.12503007426857948
RDW CV,0.13038095086812973
Falling nan,0.13198185712099075
Creatinine micromolL,0.13292870484292507
ASAT GOT U L,0.1344510307535529
HDL mmolL,0.13447039760649204
MNA normal,0.13644350692629814
FinalHDL mmolL,0.13859338127076626
Coronary artery disease,0.13912443071603775
NonHDL mmolL,0.1470680721104145
Zonulin N1200,0.14811675995588303
Glucose mmolL Reanalysis,0.1514510065317154
Volk IL8 pgml nan,0.1560779009014368
LDL HDL ratio,0.15649564564228058
IADL impaired,0.15663707628846169
TUG nan,0.16040610149502754
Eosinophileabsolut,0.16331803053617477
NonHDL mg/dl nan,0.1657979004085064
Bmi,0.16985783819109201
SPY,0.17402841243892908
MCH fmol,0.1844980614259839
MCV,0.1880345493555069
Leptin Adipon Ratio,0.1939558982849121
GammaGTSe,0.20586098777130246
NonHmwAdipon,0.21569915115833282
AnesthReg,0.22277561016380787
UricAcid mmolL,0.22612147033214566
AUDIT cat,0.2531484793871641
KNYAcid,0.25458606891334057
Cpeptide total,0.26146862655878067
MDA MissingRepl,0.26605728548020124
ALAT GPT U L,0.26655073277652264
Falling,0.282366294413805
MCHC mmolL,0.2940251771360636
Leukocytes,0.2994247619062662
Hemoglobin nan,0.3006605990231037
AdipoQTotal,0.30163501389324665
Final TP42 40,0.30182646587491035
Anaesth type combined,0.33939050510525703
Reticulated Platelets Percent,0.35047451965510845
Triglyc mmolL Reanalysis,0.3895681630820036
ISCED three categories,0.4430927149951458
Lymphozytenabsolut,0.45667189173400397
HbA1c mmolmol,0.46579650603234773
IL18 pgml,0.46823822893202305
AdipoQHMW,0.49547733739018446
IL2 pgml nan,0.4999147728085518
LeptinRec total,0.5154393147677183
UricAcid mg/dl,0.5372837278991938
Reticulated Platelets Percent nan,0.5403302423655987
NonHDL mg/dl,0.6208189763128757
Glucose mg/dl,0.6230880506336689
Height,0.670277951285243
LDHSe,0.6878680363297462
KNY,0.9634617064148189
Neutrophile Percent,0.967271588742733
TRP,1.017953734844923
LDL mg/dl,1.0587180778384209
Eosinophile Percent,1.0846054274588823
Creatinine mg/dl,1.0961034335196018
Weight,1.1174594797194004
Monozyten Percent,1.1212612222880125
EGFR,1.1884802300482988
Triglyc mg/dl,1.3190565817058086
Albumin gL,1.41056920401752
Op0270 cat v2,1.7340718396008017
TumorLymphomalLeukemia,2.0980334281921387
EQ5D Index baseline,2.2245081327855587
HDL mg/dl,2.4591105803847313
PreCI dichotomous ,2.468499466776848
Hemoglobin,2.551568318158388
HDL mmolL Reanalysis,2.776191933080554
S100A12,2.979810405522585
SORL1,3.000580780208111
MPV,3.0882056057453156
Localisation intracranial nan,3.3977053593844175
BDZ preop longterm,3.686781842261553
Fraility,4.576027691364288
Lymphozyten Percent,4.737537782639265
ASA bin,4.965749084949493
Age,5.03161583095789
MMSE,5.524062868207693
Volk IL8 pgml,5.725753242149949
Anaesthesia duration,8.337254375219345
