,0
T1 Leptin Adipon Ratio,0.11899975128471853
T1 KNY,0.12177498079836367
T1 LDHSe,0.1345377042889595
T1 MCHC,0.1385028474032879
T1 MCV,0.14204171486198902
T1 Potassium mmolL,0.1517782174050808
T1 TotalCholesterol mmolL,0.1559704076498747
T1 LDL mg dl,0.16508061438798904
T1 Glucose mmolL Reanalysis,0.17249735072255135
T1 Thrombozyten,0.17440475523471832
T1 Lymphozytenabsolut,0.17673345282673836
T1 Volk IL8 pgml nan,0.18021324649453163
T1 KNYAcid,0.1856587640941143
T1 IL2 pgml nan,0.20306916907429695
T1 Troponin MissingRepl,0.2359292656183243
T1 HbA1c Percentage,0.24767961353063583
T1 Neutrophileabsolut,0.2795722149312496
T1 UricAcid mmolL,0.2960800379514694
T1 NonHmwAdipon,0.33196154050529003
T1 Haematocrit l per l,0.332014262676239
T1 HbA1c mmolmol,0.3435838967561722
T1 Reticulated Platelets Percent,0.36661066114902496
T1 AdipoQHMW,0.36676296265795827
T1 MCH fmol,0.3690974600613117
T1 TRP,0.37215081974864006
T1 RDW CV,0.39119813591241837
T1 hArginin,0.4081438109278679
T1 FinalGlucose mmolL,0.4139412567019463
T1 MPV,0.4242538101971149
Height,0.42518947273492813
T1 FinalHDL mmolL nan,0.4317323118448258
T1 Leptin SLR Ratio,0.4791680537164211
T1 IL8 pgml,0.5054461397230625
T1 Glucose mg dl,0.5365400947630405
T1 UricAcid mg dl,0.5597672145813704
T1 ALAT GPT U L,0.5887910723686218
T1 MCHC mmolL,0.6163151562213898
T1 Calprotectinn,0.6260700337588787
T1 FinalTG mmolL nan,0.6511142663657665
T1 Triglycerides mmolL,0.6658546067774296
T1 IL18 pgml,0.6694630533456802
T1 Proinsulinintakt,0.8286254480481148
T1 Erythrozyten,0.8800975605845451
T1 ASAT GOT U L,0.9258449822664262
T1 Creatinine mg dl,1.011964026838541
T1 Cpeptide total,1.1060920171439648
Final T1 TP42 40,1.1307184025645256
T1 Neutrophile Percent,1.1423218995332718
T1 FinalTG mmolL,1.1562343314290047
T1 gammaGTSe,1.3215701282024384
T1 FinalHDL mmolL,1.6490153037011623
T1 Triglyc mg dl,1.8671232461929321
T1 HDL mg dl,1.8998832441866398
T1 Glucose mmolL,2.2340128012001514
T1 HDL mmolL,2.350227255374193
T1 Leukocytes,2.6461483538150787
T1 Monozyten Percent,2.688670475035906
T1 IL6,2.8711733035743237
T1 LeptinRec total,3.1203042156994343
T1 S100A12,3.1544999219477177
T1 MDA MissingRepl,4.081448363140225
T1 CRP InclExtrapol,4.136252012103796
T1 Lymphozyten Percent,4.417971633374691
T1 HDL mmolL Reanalysis,4.805655162781477
T1 SORL1,5.077392254024744
Age,5.827857311815023
T1 Hemoglobin,6.739144865423441
T1 Albumin gL,6.76230413839221
T1 Volk IL8 pgml,10.011755302548409
