"Progenitor-Variable","Variable","Name","Units/ Categorization","Description","Comment"
"vs0040_v1","vs0040_v1","Study ID","Unique String","Patient’s pseudonym given by study personal at inclusion",""
"clinic","clinic","Clinic source","- BIC = Charité Virchow Klinikum - BIM = Charité Campus Mitte - BCU= Universitair Medisch Center Utrecht","Specifies the enrolling clinic and local study team",""
"explor","explor","Exploratory flag","- 1=interim/exploratory sample - 0= confirmatory sample","Specifies if a participant (1) was included in the a priori defined interim sample used in several publications (e.g. 1,2,3) ; initially, all other patients (0) were planned to be used in a confirmatory analysis","See references."
"dm0020_v1","dm0020_v1","Sex","String (male or female)","sex",""
"dm0030_v1","dm0030_v1","Age","Years","age of the patient at the timepoint of study inclusion",""
"dm0041_v1","dm0041_v1","Height","cm","Body height at inclusion",""
"dm0042_v1","dm0042_v1","Weight","kg","Body weight at inclusion",""
"ie0072_v1","ie0072_v1","MMSE score","Points","MMSE score at Inclusion",""
"op0270_v2","op0270_v2","Duration of anaesthesia (min)","minutes","Time between start and end of anesthesia",""
"LOSdays","LOSdays","Days in hospital","days","Time between hospital discharge and hospital admission",""
"localisation","localisation","Site of surgery","- 1 = intracranial - 2 = intrathoracic, -abdominal or pelvic - 3 = peripheral","Site of Surgery according to Operationen- und Prozedurenschlüssel (OPS-Code)",""
"icd0300_v1","icd0300_v1","ASA physical status","- 1 = ASA I - 2 = ASA II - 3 = ASA III - 4 = ASA IV","Physical Status according to American Society of Anestesiologists Physical Status (ASA PS)",""
"ASA_bin","ASA_bin","Binarized ASA physical status","- 1 ASA I-II - 2 ASA III-IV","Physical Status according to American Society of Anestesiologists Physical Status (ASA PS)","Binarized variable"
"complication","complication","Occurrence of postoperative complications (no, any, inhouse death)","- 1 = no complication - 2 = complication excluding death (any deviation from normal postoperative course) - 3 = death","Postoperative Complications","Timeframe: from recovery room to discharge or inhouse death Data source: patient files, medical records (paper and electronic)"
"icd0031_v1","icd0031_v1","Arterial hypertension","- 0 = no - 1 = yes","Arterial hypertension as known comorbidity at the timepoint of study inclusion","From medical records and patient’s interview"
"icd0041_v1","icd0041_v1","Coronary artery disease","- 0 = no - 1 = yes","Coronary artery disease as known comorbidity at the timepoint of study inclusion","From medical records and information from the patient"
"icd0121_v1","icd0121_v1","non-insulin dependent diabetes mellitus","- 0 = no - 1 = yes","Diabetes mellitus (with dietary treatment or treatment with oral diabetes agents only, NIDDM) as known comorbidity at the timepoint of study inclusion","From medical records and information from the patient"
"icd0111_v1","icd0111_v1","insulin dependent diabetes mellitus","- 0 = no - 1 = yes","Diabetes mellitus (demanding insulin treatment (IDDM)) as known comorbidity at the timepoint of study inclusion","From medical records and information from the patient"
"icd0171_v1","icd0171_v1","History of transient ischaemic attack","- 0 = no - 1 = yes","Known TIA (transient ischemic attack) in the medical history of the patient at the timepoint of study inclusion","From medical records and information from the patient"
"icd0191_v1","icd0191_v1","History of stroke","- 0 = no - 1 = yes","Known Stroke in the medical history of the patient at the timepoint of study inclusion","From medical records and information from the patient"
"adm1_yes_no","BDZ_preop_longterm","Preoperative longterm medication with benzodiazepines","- 1 = Yes (the patient took any benzodiazepine recorded in Carnahan’s scale (comment) at the time of the preoperative visit) - 0 = no (the patient took no benzodiazepines recorded in Carnahan’s sacle (comment) at the time of the preoperative visit)","Variable was derived from Carnahan’s scale assessment at the preoperative visit (admscore_v1)","considered agents of admscore_v1: Alprazolam Clonazepam Diazepam Flurazepam Lorazepam Oxazepam Temazepam Triazolam Other Benzodiazepines"
"admscore_v1","AnticholMed_preop","Patient taking any anticholinergic medication according to Carnahan’s scale time v1 (pre OP)","- 1=patient receives no anticholinergic medication - 2=patient receives at least 1 anticholinergic drug","Anticholinergic medication according to Anticholinergic Drug Scale (Carnahan Scale); the initial scores were binarised to a","Preoperative Medication ≙ Longterm-medication"
"admscore_v2","AnticholMed_OP","Patient taking any anticholinergic medication according to Carnahan scale time v2 (day of OP)","","categorical yes/no variable","Medication on day of surgery"
"admscore_v3","AnticholMed_POD1","Patient taking any anticholinergic medication according to Carnahan scale time v3 (postop. d1)","","","Medication on 1st postoperative day"
"admscore_v4","AnticholMed_POD2","Patient taking any anticholinergic medication according to Carnahan scale time v4  (postop. d2)","","","Medication on 2nd postoperative day"
"admscore_v5","AnticholMed_POD3","Patient taking any anticholinergic medication according to Carnahan scale time v5 (postop. d3)","","","Medication on 3rd postoperative day"
"admscore_v6","AnticholMed_POD4","Patient taking any anticholinergic medication according to Carnahan scale time v6 (postop. d4)","","","Medication on 4th postoperative day"
"admscore_v7","AnticholMed_POD5","Patient taking any anticholinergic medication according to Carnahan scale time v7 (postop. d5)","","","Medication on 5th postoperative day"
"admscore_v8","AnticholMed_POD6","Patient taking any anticholinergic medication according to Carnahan scale time v8 (postop. d6)","","","Medication on 6th postoperative day"
"admscore_v9","AnticholMed_POD7","Patient taking any anticholinergic medication according to Carnahan scale time v9 (postop. d7)","","","Medication on 7th postoperative day"
"adl0130_v1","ADL_impaired","Activities of Daily Living (Barthel Index)","- 1 = maximal ADL (≙100 points) - 2 = impaired ADL (<100 points)","Activities of Daily Living (ADL; Barthel Index) from patient’s self report at the timepoint of study inclusion","the initial score was binarised to a categorical yes/no variable"
"adl0230_v1","IADL_impaired","Instrumental activities of daily living (Lawton and Brody)","- 1 = maximum IADL (≙8 points) - 2 = impaired IADL (< 8 points)","Instrumental activities of daily living (IADL, according to Lawton and Brody) from patient’s self report at the timepoint of study inclusion","the initial score was binarised to a categorical yes/no variable"
"frai0060_v1","falling","Falling incidences","- 1 = none - 2 = at least one","Falling incidences within the last year from patient’s self report at the timepoint of study inclusion","the number of incidences was binarised to a categorical yes/no variable"
"time0020_v1","TUG","Timed up & go test result","- 1 = normal ( <10sec) - 2 = slowing (>/=10s)","Timed up and go test result at the timepoint of study inclusion","the initial test result was binarised to a categorical yes/no variable"
"frai0052_v1","fraility","Frailty","- 1 = frail - 2 = prefrail - 3 = robust","SOF(Study of Osteoporotic Fracture) -Criteria were used at the timepoint of study inclusion: - Intended or unintended weight loss >5% during the last year - Weakness of the legs (inaibility to raise from a chair without use of arm rests) - Exhaustion, as denying to feel full of energy 2 fulfilled criteria defined frailty, 1 fulfilled criterion defined prefrailty",""
"audit0020_v1","AUDIT_cat","Hazardous alcohol consumption based on the AUDIT score","- 0 = no hazardous alcohol consumption - 1 = hazardous alcohol consumption","AUDIT (Alcohol Use Disorders Identification Test) score from patient’s self report at the timepoint of study inclusion","the initial score was binarised to a categorical yes/no variable;  Sex-specific cut-offs have been used (>7 points for men and >4 points for females for hazardous alcohol consumption)"
"sm0021_v1","sm0021_v1","Current smoker","- 0 = non-smoker - 1 = smoker","Current smoker from patient’s self report at the timepoint of study inclusion",""
"mna0080_v1","MNA_cat","Mini-Nutritional Assessment – Short Form","- 1 = malnutrition - 2 = risk for malnutrition - 3 = normal","Mini-Nutritional Assessment – Short Form at the timepoint of study inclusion","MNA score has been reduced to clinically relevant categories (specific cut-offs have been used: 0-7 points = malnutrition; 8-11 points = risk for malnutrition; 12-14 points= normal)"
"sm0043_v1","sm0043_v1","SPY (Smoking Pack Years)","Pack Years","Smoking Pack Years from patient’s self report at the timepoint of study inclusion",""
"sm0031_v1","sm0031_v1","ever-smoker","- 0 = never-smoker - 1 = ever-smoker","History of smoking (active or formerly)",""
"dm0043_v1","dm0043_v1","Body Mass Index","kg/m²","",""
"pain_yes_no","pain_yes_no","Postoperative pain; complex score combined from NRS, BPS, BPS INI, and CPOT","- 0 = patient did not experience uncontrolled pain (post-surgery until postoperative day 7) - 1 = patient did experience uncontrolled pain (post-surgery until postoperative day 7)","The patient was defined to have experienced uncontrolled pain after surgery if he had NRS>4 or BPS>5 or BPS-NI>5 or CPOT>2 on any post-operative visit","NRS: numerical rating scale BPS: behavioural pain scale1 BPS-NI: BPS-non intubated2 CPOT: Critical Care Pain Observation Tool3"
"op0080_v2","AnaesthType","Type of anaesthesia","- 1 = general - 2 = regional - 3 = combined","Type of anaesthesia during operation after study inclusion","Op0080_v2 has been reduced to clinically relevant categories"
"ISCED_three_categories","ISCED_three_categories","ISCED levels reduced to three levels","- 1= level 1-2 - 2= level 3-4 - 3= level 5-6","International Standard Classification of Education (ISCED)","ISCED categories and subcategories have been reduced to three levels"
"DreiMonatsmortalität","Mortality90days","Mortality 90 days after surgery","- 0 = not deceased - 1 = deceased","Cut off: 90 days after surgery","Missings in this variable are due to patients who were not registered in Germany or who could not be identified at the German registration offices, e.g. due to incomplete addresses or a prohibition to provide the information to others."
"ÜberlebenBis90Tage","Survival90days","Survival up to 90 days after surgery","days","","Missings in this variable are due to patients who were not registered in Germany or who could not be identified at the German registration offices, e.g. due to incomplete addresses or a prohibition to provide the information to others."
"LackOfCompliance_ed2","Lack_of_Compliance","Result fom the loss-to-follow-up analysis 3-month follow-up – Incompliance as a reason for loss to follow-up","- 0 = cognitive testing performed at follow-up assessment - 1 = lack of compliance","According to the study protocol time point 3-month can differ due to prolongation of follow-up timeframe (e.g. up to 6 month after surgery); 1= Patient was alive at the timepoint of 3 month follow-up, but did not participate in neuropsychological testing for any reason, e.g. refused to return for follow-up, has moved to another town, provided incomplete follow-up data (e.g questionnaire data only) or contact could not be established for any other reason.","Missings in this variable are due to patients who were not registered in Germany or who could not be identified at the German registration offices, e.g. due to incomplete addresses or a prohibition to provide the information to others. Dead patients are also missing data."
"DeceasedBeforeFU","DeceasedBeforeFU","Result fom the loss-to-follow-up analysis 3-month follow-up – Death as a reason for loss to follow up","- 0 = patient was alive at follow-up assessment - 1 = patient died before invitation to follow-up assessment was possible","This variable does not describe mortality at a certain time point. A patient could be coded as „0“ if he participated in the follow-up assessment two months after surgery, but died before day 90. A patient could be coded as „1“, if he was alive at day 90, but was reported to be dead by relatives when he was first approached for an invitation for follow up after 100 days for some reason.","Missings in this variable are due to patients who were not registered in Germany or who could not be identified at the German registration offices, e.g. due to incomplete addresses or a prohibition to provide the information to others. Dead patients are also missing data."
"POD","POD","Postoperative delirium (without subsyndromal)","- 0 = no delirium - 1 = delirium","Delirious, if: ≥ 2 cumulative points on Nu-DESC  and/or a positive CAM score and/or a positive CAM-ICU and/or patient chart review that shows descriptions of delirium post-surgery until postoperative day 7",""
"POCD_dichotomous_T2","POCD_dichotomous_T2","Postoperative cognitive dysfunction","- 0 = no POCD - 1 = POCD","POCD was defined according to the Reliable Change Index (RCI) with the ISPOCD criteria except for using a 1.96SD cut-off1 Subtests: Verbal Recognition Memory test (verbal memory), span length - Spatial Span task (working memory), first trial memory score - Paired Associate Learning test (visual memory), completion time - Trail-Making-Test B (executive functions), completion time - Grooved Pegboard test (fine motor skills)","Postoperative cognitive dysfunction at  3 months after surgery"
